1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","-0.1425","-2.4576"
"","0.1000","-0.1364","-2.3679"
"","0.2000","-0.1165","-1.6937"
"","0.3000","-0.0963","-0.9592"
"","0.4000","-0.0779","-0.2505"
"","0.5000","-0.0599","0.5417"
"","0.6000","-0.0427","1.4285"
"","0.7000","-0.0261","2.4922"
"","0.8000","-0.0092","3.7048"
"","0.9000","0.0075","4.9882"
"","1.0000","0.0241","6.4803"
"","1.1000","0.0409","8.0562"
"","1.2000","0.0577","9.6630"
"","1.3000","0.0745","11.4423"
"","1.4000","0.0912","13.7835"
"","1.5000","0.1077","16.4863"
"","1.6000","0.1240","19.7707"
"","1.7000","0.1411","23.3839"
"","1.8000","0.1573","27.1090"
"","1.9000","0.1741","31.1054"
"","2.0000","0.1912","35.0683"
"","2.1000","0.2077","38.9363"
"","2.2000","0.2245","42.9496"
"","2.3000","0.2412","46.9762"
"","2.4000","0.2576","50.8123"
"","2.5000","0.2740","55.0747"
"","2.6000","0.2912","59.2010"
"","2.6560","0.3003","61.5403"
"","2.6580","0.3005","61.6145"
"","2.6880","0.3031","62.4924"
"","2.7880","0.3037","60.5071"
"","2.8880","0.3037","58.8365"
"","2.9880","0.3033","57.6933"
"","3.0880","0.3029","56.7690"
"","3.1880","0.3028","55.9890"
"","3.2880","0.3028","55.3885"
"","3.3880","0.3027","54.8644"
"","3.4880","0.3023","54.2865"
"","3.5880","0.3019","53.7453"
"","3.6880","0.3015","53.2886"
"","3.7880","0.3011","52.8517"
"","3.8880","0.3008","52.4422"
"","3.9880","0.3005","52.0971"
"","4.0880","0.3004","51.8253"
"","4.1880","0.3003","51.5378"
"","4.2880","0.3001","51.2852"
"","4.3880","0.3001","51.0747"
"","4.4880","0.3001","50.8645"
"","4.5880","0.3000","50.6631"
"","4.6580","0.3000","50.5225"
"","4.6600","0.3000","50.5186"
"","4.6980","0.3000","50.4772"
"","4.7980","0.3044","50.9164"
"","4.8980","0.3247","58.4887"
"","4.9980","0.3460","66.0621"
"","5.0980","0.3644","71.6269"
"","5.1980","0.3819","76.3436"
"","5.2980","0.3993","80.6346"
"","5.3980","0.4165","84.4450"
"","5.4980","0.4332","87.9473"
"","5.5980","0.4501","91.3506"
"","5.6980","0.4672","94.3040"
"","5.7980","0.4836","97.0784"
"","5.8980","0.5004","99.6814"
"","5.9980","0.5169","101.9189"
"","6.0980","0.5332","104.1612"
"","6.1980","0.5503","106.4075"
"","6.2980","0.5668","108.3498"
"","6.3980","0.5835","110.1825"
"","6.4960","0.6003","112.1735"
"","6.4980","0.6005","112.2107"
"","6.5260","0.6033","112.5501"
"","6.6260","0.6041","109.1905"
"","6.7260","0.6041","106.6236"
"","6.8260","0.6039","104.8099"
"","6.9260","0.6032","103.3176"
"","7.0260","0.6027","102.0553"
"","7.1260","0.6027","100.9467"
"","7.2260","0.6021","99.9731"
"","7.3260","0.6012","99.0552"
"","7.4260","0.6013","98.3864"
"","7.5260","0.6013","97.7580"
"","7.6260","0.6012","97.1851"
"","7.7260","0.6012","96.6611"
"","7.8260","0.6011","96.1234"
"","7.9260","0.6008","95.5972"
"","8.0260","0.6005","95.1174"
"","8.1260","0.6004","94.6765"
"","8.2260","0.6003","94.2724"
"","8.3260","0.6001","93.9184"
"","8.4260","0.6001","93.5811"
"","8.4980","0.6001","93.3454"
"","8.5000","0.6001","93.3370"
"","8.5380","0.6001","93.2524"
"","8.6380","0.6044","93.4494"
"","8.7380","0.6245","99.7069"
"","8.8380","0.6453","105.4875"
"","8.9380","0.6639","109.5909"
"","9.0380","0.6819","112.9836"
"","9.1380","0.6996","115.9384"
"","9.2380","0.7164","118.4253"
"","9.3380","0.7336","120.9759"
"","9.4380","0.7507","123.2989"
"","9.5380","0.7671","125.2625"
"","9.6380","0.7833","127.2587"
"","9.7380","0.8003","129.3963"
"","9.8380","0.8168","131.2758"
"","9.9380","0.8335","133.4173"
"","10.0380","0.8505","135.3901"
"","10.1380","0.8669","137.3159"
"","10.2380","0.8839","139.4576"
"","10.3360","0.9001","141.2855"
"","10.3380","0.9004","141.3295"
"","10.3680","0.9033","141.7535"
"","10.4680","0.9040","138.0802"
"","10.5680","0.9040","135.3186"
"","10.6680","0.9035","133.3109"
"","10.7680","0.9031","131.6663"
"","10.8680","0.9029","130.2876"
"","10.9680","0.9023","129.0338"
"","11.0680","0.9020","127.8846"
"","11.1680","0.9016","126.9097"
"","11.2680","0.9008","125.9807"
"","11.3680","0.9005","125.1623"
"","11.4680","0.9007","124.4689"
"","11.5680","0.9004","123.8664"
"","11.6680","0.9004","123.3089"
"","11.7680","0.9004","122.7856"
"","11.8680","0.9004","122.3224"
"","11.9680","0.9004","121.8491"
"","12.0680","0.9004","121.3850"
"","12.1680","0.9004","120.9700"
"","12.2680","0.9004","120.5870"
"","12.3380","0.9003","120.2994"
"","12.3400","0.9003","120.2904"
"","12.3760","0.9003","120.1589"
"","12.4760","0.9052","120.5117"
"","12.5760","0.9251","127.4028"
"","12.6760","0.9457","133.8614"
"","12.7760","0.9644","138.6536"
"","12.8760","0.9823","142.8167"
"","12.9760","0.9997","146.3643"
"","13.0760","1.0167","149.7635"
"","13.1760","1.0336","153.0908"
"","13.2760","1.0501","155.9734"
"","13.3760","1.0664","158.9537"
"","13.4760","1.0835","162.0843"
"","13.5760","1.1001","165.0618"
"","13.6760","1.1168","168.0161"
"","13.7760","1.1339","171.2365"
"","13.8760","1.1507","174.2484"
"","13.9760","1.1668","177.1671"
"","14.0760","1.1835","180.3532"
"","14.1760","1.2000","183.3843"
"","14.1780","1.2003","183.4527"
"","14.2080","1.2032","184.2548"
"","14.3080","1.2040","179.7402"
"","14.4080","1.2040","176.1791"
"","14.5080","1.2037","173.6490"
