1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0001","0.0014"
"","0.1000","0.0795","0.0015"
"","0.2000","0.1893","0.0016"
"","0.3000","0.2951","0.0017"
"","0.4000","0.3981","0.0018"
"","0.5000","0.4997","0.0019"
"","0.6000","0.6009","0.0020"
"","0.7000","0.7013","0.0021"
"","0.8000","0.8015","0.0022"
"","0.9000","0.9017","0.0023"
"","1.0000","1.0020","0.0024"
"","1.1000","1.1020","0.0025"
"","1.2000","1.2019","0.0025"
"","1.3000","1.3020","0.0026"
"","1.4000","1.4020","0.0027"
"","1.5000","1.5021","0.0028"
"","1.6000","1.6017","0.0028"
"","1.7000","1.7019","0.0030"
"","1.8000","1.8020","0.0030"
"","1.9000","1.9021","0.0031"
"","2.0000","2.0020","0.0032"
"","2.1000","2.1020","0.0032"
"","2.2000","2.2021","0.0033"
"","2.3000","2.3023","0.0034"
"","2.4000","2.4021","0.0035"
"","2.5000","2.5020","0.0035"
"","2.6000","2.6021","0.0036"
"","2.7000","2.7023","0.0037"
"","2.8000","2.8020","0.0038"
"","2.9000","2.9020","0.0038"
"","3.0000","3.0023","0.0039"
"","3.1000","3.1021","0.0039"
"","3.2000","3.2019","0.0040"
"","3.3000","3.3019","0.0041"
"","3.4000","3.4021","0.0041"
"","3.4980","3.5001","0.0042"
"","3.5000","3.5021","0.0042"
"","3.5220","3.5164","0.0042"
"","3.6220","3.5212","0.0042"
"","3.7220","3.5176","0.0041"
"","3.8220","3.5117","0.0041"
"","3.9220","3.5069","0.0041"
"","4.0220","3.5039","0.0041"
"","4.1220","3.5021","0.0041"
"","4.2220","3.5011","0.0041"
"","4.3220","3.5005","0.0041"
"","4.4220","3.5003","0.0041"
"","4.5220","3.5001","0.0041"
"","4.6220","3.5001","0.0041"
"","4.7220","3.5000","0.0041"
"","4.8220","3.5000","0.0040"
"","4.9220","3.5000","0.0040"
"","5.0220","3.5000","0.0041"
"","5.1220","3.5000","0.0040"
"","5.2220","3.4999","0.0040"
"","5.3220","3.4999","0.0040"
"","5.4220","3.4999","0.0040"
"","5.5000","3.4999","0.0040"
"","5.5020","3.4999","0.0040"
"","5.5300","3.4999","0.0040"
"","5.6300","3.5724","0.0041"
"","5.7300","3.6848","0.0042"
"","5.8300","3.7927","0.0043"
"","5.9300","3.8969","0.0043"
"","6.0300","3.9992","0.0044"
"","6.1300","4.1004","0.0045"
"","6.2300","4.2012","0.0045"
"","6.3300","4.3016","0.0046"
"","6.4300","4.4016","0.0047"
"","6.5300","4.5017","0.0047"
"","6.6300","4.6020","0.0048"
"","6.7300","4.7020","0.0049"
"","6.8300","4.8019","0.0049"
"","6.9300","4.9016","0.0050"
"","7.0300","5.0020","0.0051"
"","7.1300","5.1020","0.0051"
"","7.2300","5.2019","0.0052"
"","7.3300","5.3019","0.0052"
"","7.4300","5.4020","0.0053"
"","7.5300","5.5023","0.0054"
"","7.6300","5.6021","0.0054"
"","7.7300","5.7020","0.0055"
"","7.8300","5.8023","0.0055"
"","7.9300","5.9021","0.0056"
"","8.0300","6.0019","0.0057"
"","8.1300","6.1020","0.0057"
"","8.2300","6.2020","0.0058"
"","8.3300","6.3021","0.0058"
"","8.4300","6.4019","0.0059"
"","8.5300","6.5019","0.0060"
"","8.6300","6.6021","0.0060"
"","8.7300","6.7023","0.0061"
"","8.8300","6.8021","0.0061"
"","8.9300","6.9020","0.0062"
"","9.0280","7.0001","0.0062"
"","9.0300","7.0021","0.0062"
"","9.0700","7.0207","0.0062"
"","9.1700","7.0211","0.0062"
"","9.2700","7.0168","0.0062"
"","9.3700","7.0104","0.0062"
"","9.4700","7.0057","0.0061"
"","9.5700","7.0032","0.0061"
"","9.6700","7.0017","0.0061"
"","9.7700","7.0008","0.0061"
"","9.8700","7.0005","0.0061"
"","9.9700","7.0003","0.0061"
"","10.0700","7.0001","0.0061"
"","10.1700","7.0001","0.0061"
"","10.2700","7.0000","0.0061"
"","10.3700","7.0000","0.0061"
"","10.4700","7.0000","0.0061"
"","10.5700","7.0000","0.0061"
"","10.6700","7.0000","0.0061"
"","10.7700","7.0000","0.0060"
"","10.8700","6.9999","0.0060"
"","10.9700","6.9999","0.0060"
"","11.0300","6.9999","0.0060"
"","11.0320","6.9999","0.0060"
"","11.0800","6.9999","0.0060"
"","11.1800","7.0728","0.0061"
"","11.2800","7.1849","0.0062"
"","11.3800","7.2927","0.0063"
"","11.4800","7.3969","0.0064"
"","11.5800","7.4993","0.0064"
"","11.6800","7.6001","0.0065"
"","11.7800","7.7009","0.0066"
"","11.8800","7.8015","0.0066"
"","11.9800","7.9017","0.0067"
"","12.0800","8.0016","0.0068"
"","12.1800","8.1017","0.0068"
"","12.2800","8.2020","0.0069"
"","12.3800","8.3021","0.0069"
"","12.4800","8.4020","0.0070"
"","12.5800","8.5020","0.0071"
"","12.6800","8.6021","0.0071"
"","12.7800","8.7023","0.0072"
"","12.8800","8.8020","0.0072"
"","12.9800","8.9019","0.0073"
"","13.0800","9.0020","0.0074"
"","13.1800","9.1021","0.0074"
"","13.2800","9.2019","0.0075"
"","13.3800","9.3019","0.0075"
"","13.4800","9.4020","0.0076"
"","13.5800","9.5021","0.0077"
"","13.6800","9.6020","0.0077"
"","13.7800","9.7020","0.0078"
"","13.8800","9.8021","0.0078"
"","13.9800","9.9021","0.0079"
"","14.0800","10.0019","0.0080"
"","14.1800","10.1020","0.0080"
"","14.2800","10.2021","0.0081"
"","14.3800","10.3023","0.0081"
"","14.4800","10.4020","0.0082"
"","14.5780","10.5000","0.0083"
"","14.5800","10.5021","0.0083"
"","14.6200","10.5207","0.0083"
"","14.7200","10.5212","0.0083"
"","14.8200","10.5169","0.0082"
"","14.9200","10.5104","0.0082"
"","15.0200","10.5057","0.0082"
"","15.1200","10.5033","0.0081"
"","15.2200","10.5019","0.0081"
"","15.3200","10.5011","0.0081"
"","15.4200","10.5005","0.0081"
"","15.5200","10.5003","0.0081"
"","15.6200","10.5001","0.0081"
"","15.7200","10.5000","0.0081"
"","15.8200","10.5000","0.0081"
"","15.9200","10.5000","0.0081"
"","16.0200","10.5000","0.0081"
"","16.1200","10.4999","0.0081"
"","16.2200","10.4999","0.0080"
"","16.3200","10.4999","0.0080"
"","16.4200","10.4999","0.0080"
"","16.5200","10.4999","0.0080"
"","16.5800","10.4999","0.0080"
"","16.5820","10.4999","0.0080"
"","16.6300","10.4999","0.0080"
"","16.7300","10.5725","0.0081"
"","16.8300","10.6848","0.0082"
"","16.9300","10.7924","0.0083"
"","17.0300","10.8967","0.0084"
"","17.1300","10.9992","0.0085"
"","17.2300","11.1005","0.0086"
"","17.3300","11.2011","0.0087"
"","17.4300","11.3015","0.0087"
"","17.5300","11.4017","0.0088"
"","17.6300","11.5019","0.0089"
"","17.7300","11.6017","0.0090"
"","17.8300","11.7017","0.0090"
"","17.9300","11.8020","0.0091"
"","18.0300","11.9021","0.0092"
