1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","-0.0003","-2.4071"
"","0.1000","0.0064","-2.1948"
"","0.2000","0.0263","-0.7519"
"","0.3000","0.0463","0.8808"
"","0.4000","0.0651","2.4958"
"","0.5000","0.0828","4.1125"
"","0.6000","0.0995","5.8135"
"","0.7000","0.1165","7.8217"
"","0.8000","0.1332","10.1201"
"","0.9000","0.1497","12.9480"
"","1.0000","0.1669","16.3358"
"","1.1000","0.1833","20.0440"
"","1.2000","0.2003","24.1655"
"","1.3000","0.2171","28.3962"
"","1.4000","0.2336","32.4050"
"","1.5000","0.2499","36.4479"
"","1.6000","0.2668","40.5351"
"","1.7000","0.2833","44.4303"
"","1.8000","0.3000","48.5585"
"","1.8020","0.3003","48.6313"
"","1.8500","0.3036","49.6064"
"","1.9500","0.3037","47.4291"
"","2.0500","0.3037","46.0748"
"","2.1500","0.3032","45.1287"
"","2.2500","0.3032","44.3651"
"","2.3500","0.3031","43.7825"
"","2.4500","0.3028","43.2615"
"","2.5500","0.3024","42.7046"
"","2.6500","0.3020","42.2312"
"","2.7500","0.3016","41.7767"
"","2.8500","0.3012","41.3957"
"","2.9500","0.3008","41.0227"
"","3.0500","0.3007","40.7084"
"","3.1500","0.3004","40.4646"
"","3.2500","0.3003","40.2100"
"","3.3500","0.3001","39.9967"
"","3.4500","0.3001","39.8130"
"","3.5500","0.3001","39.6324"
"","3.6500","0.3001","39.5026"
"","3.7500","0.3000","39.3254"
"","3.8020","0.3000","39.2489"
"","3.8040","0.3000","39.2451"
"","3.8360","0.3000","39.1972"
"","3.9360","0.3047","39.7264"
"","4.0360","0.3249","46.8378"
"","4.1360","0.3460","53.7461"
"","4.2360","0.3645","58.7545"
"","4.3360","0.3819","62.8978"
"","4.4360","0.3993","66.7340"
"","4.5360","0.4165","70.0518"
"","4.6360","0.4333","72.9599"
"","4.7360","0.4500","75.7237"
"","4.8360","0.4672","78.1291"
"","4.9360","0.4837","80.2907"
"","5.0360","0.5004","82.3308"
"","5.1360","0.5169","83.9935"
"","5.2360","0.5333","85.5722"
"","5.3360","0.5503","87.2120"
"","5.4360","0.5669","88.5963"
"","5.5360","0.5836","89.8924"
"","5.6340","0.6001","91.2777"
"","5.6360","0.6005","91.3057"
"","5.6600","0.6031","91.5406"
"","5.7600","0.6041","88.8463"
"","5.8600","0.6041","86.7698"
"","5.9600","0.6037","85.2862"
"","6.0600","0.6036","84.1479"
"","6.1600","0.6033","83.1536"
"","6.2600","0.6029","82.2889"
"","6.3600","0.6025","81.5219"
"","6.4600","0.6020","80.8036"
"","6.5600","0.6016","80.1724"
"","6.6600","0.6012","79.6191"
"","6.7600","0.6008","79.1050"
"","6.8600","0.6007","78.6631"
"","6.9600","0.6004","78.2632"
"","7.0600","0.6003","77.9085"
"","7.1600","0.6001","77.5853"
"","7.2600","0.6001","77.2739"
"","7.3600","0.6001","76.9909"
"","7.4600","0.6000","76.7260"
"","7.5600","0.6000","76.4470"
"","7.6360","0.6000","76.2721"
