1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","-0.0001","0.0005"
"","0.1000","0.0795","0.0006"
"","0.2000","0.1895","0.0008"
"","0.3000","0.2953","0.0009"
"","0.4000","0.3981","0.0011"
"","0.5000","0.4999","0.0012"
"","0.6000","0.6009","0.0013"
"","0.7000","0.7015","0.0015"
"","0.8000","0.8015","0.0016"
"","0.9000","0.9016","0.0017"
"","1.0000","1.0019","0.0019"
"","1.1000","1.1021","0.0020"
"","1.2000","1.2019","0.0021"
"","1.3000","1.3017","0.0022"
"","1.4000","1.4020","0.0023"
"","1.5000","1.5021","0.0024"
"","1.6000","1.6019","0.0026"
"","1.7000","1.7017","0.0027"
"","1.8000","1.8020","0.0028"
"","1.9000","1.9021","0.0029"
"","2.0000","2.0019","0.0030"
"","2.1000","2.1021","0.0031"
"","2.2000","2.2021","0.0033"
"","2.3000","2.3021","0.0034"
"","2.4000","2.4021","0.0035"
"","2.5000","2.5020","0.0036"
"","2.6000","2.6023","0.0037"
"","2.7000","2.7023","0.0038"
"","2.8000","2.8020","0.0039"
"","2.9000","2.9020","0.0040"
"","3.0000","3.0023","0.0041"
"","3.1000","3.1021","0.0042"
"","3.2000","3.2019","0.0042"
"","3.3000","3.3019","0.0043"
"","3.4000","3.4021","0.0044"
"","3.4980","3.5001","0.0045"
"","3.5000","3.5021","0.0045"
"","3.5300","3.5189","0.0045"
"","3.6300","3.5212","0.0045"
"","3.7300","3.5171","0.0045"
"","3.8300","3.5112","0.0045"
"","3.9300","3.5067","0.0044"
"","4.0300","3.5037","0.0044"
"","4.1300","3.5020","0.0044"
"","4.2300","3.5011","0.0044"
"","4.3300","3.5005","0.0044"
"","4.4300","3.5003","0.0044"
"","4.5300","3.5001","0.0044"
"","4.6300","3.5000","0.0044"
"","4.7300","3.5000","0.0044"
"","4.8300","3.5000","0.0044"
"","4.9300","3.5000","0.0044"
"","5.0300","3.5000","0.0044"
"","5.1300","3.5000","0.0044"
"","5.2300","3.4999","0.0044"
"","5.3300","3.4999","0.0043"
"","5.4300","3.4999","0.0044"
"","5.5000","3.4999","0.0043"
"","5.5020","3.4999","0.0043"
"","5.5400","3.4999","0.0043"
"","5.6400","3.5724","0.0044"
"","5.7400","3.6848","0.0045"
"","5.8400","3.7928","0.0047"
"","5.9400","3.8969","0.0048"
"","6.0400","3.9991","0.0049"
"","6.1400","4.1004","0.0050"
"","6.2400","4.2012","0.0051"
"","6.3400","4.3016","0.0051"
"","6.4400","4.4016","0.0052"
"","6.5400","4.5016","0.0053"
"","6.6400","4.6020","0.0054"
"","6.7400","4.7020","0.0055"
"","6.8400","4.8017","0.0055"
"","6.9400","4.9016","0.0056"
"","7.0400","5.0021","0.0057"
"","7.1400","5.1021","0.0057"
"","7.2400","5.2019","0.0058"
"","7.3400","5.3019","0.0059"
"","7.4400","5.4020","0.0060"
"","7.5400","5.5023","0.0061"
"","7.6400","5.6021","0.0061"
"","7.7400","5.7020","0.0062"
"","7.8400","5.8023","0.0063"
"","7.9400","5.9023","0.0063"
"","8.0400","6.0020","0.0064"
"","8.1400","6.1019","0.0065"
"","8.2400","6.2021","0.0065"
"","8.3400","6.3021","0.0066"
"","8.4400","6.4019","0.0067"
"","8.5400","6.5019","0.0067"
"","8.6400","6.6023","0.0068"
"","8.7400","6.7023","0.0069"
"","8.8400","6.8021","0.0069"
"","8.9400","6.9020","0.0070"
"","9.0380","7.0001","0.0071"
"","9.0400","7.0021","0.0071"
"","9.0800","7.0207","0.0070"
"","9.1800","7.0209","0.0070"
"","9.2800","7.0168","0.0070"
"","9.3800","7.0104","0.0070"
"","9.4800","7.0057","0.0070"
"","9.5800","7.0033","0.0070"
"","9.6800","7.0017","0.0069"
"","9.7800","7.0009","0.0069"
"","9.8800","7.0005","0.0069"
"","9.9800","7.0003","0.0069"
"","10.0800","7.0001","0.0069"
"","10.1800","7.0001","0.0069"
"","10.2800","7.0000","0.0069"
"","10.3800","7.0000","0.0069"
"","10.4800","7.0000","0.0069"
"","10.5800","7.0000","0.0069"
"","10.6800","7.0000","0.0069"
"","10.7800","7.0000","0.0068"
"","10.8800","6.9999","0.0069"
"","10.9800","6.9999","0.0068"
"","11.0400","6.9999","0.0068"
"","11.0420","6.9999","0.0068"
"","11.0900","6.9999","0.0068"
"","11.1900","7.0729","0.0069"
"","11.2900","7.1852","0.0070"
"","11.3900","7.2927","0.0071"
"","11.4900","7.3969","0.0072"
"","11.5900","7.4993","0.0073"
"","11.6900","7.6003","0.0074"
"","11.7900","7.7011","0.0074"
"","11.8900","7.8015","0.0075"
"","11.9900","7.9017","0.0075"
"","12.0900","8.0016","0.0076"
