1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0001","0.0004"
"","0.1000","0.0795","0.0005"
"","0.2000","0.1893","0.0006"
"","0.3000","0.2953","0.0007"
"","0.4000","0.3983","0.0007"
"","0.5000","0.4999","0.0008"
"","0.6000","0.6008","0.0009"
"","0.7000","0.7015","0.0009"
"","0.8000","0.8015","0.0010"
"","0.9000","0.9016","0.0011"
"","1.0000","1.0020","0.0011"
"","1.1000","1.1021","0.0012"
"","1.2000","1.2019","0.0013"
"","1.3000","1.3019","0.0013"
"","1.4000","1.4019","0.0014"
"","1.5000","1.5021","0.0014"
"","1.6000","1.6019","0.0015"
"","1.7000","1.7019","0.0016"
"","1.8000","1.8020","0.0016"
"","1.9000","1.9021","0.0016"
"","2.0000","2.0020","0.0017"
"","2.1000","2.1021","0.0018"
"","2.2000","2.2021","0.0018"
"","2.3000","2.3024","0.0019"
"","2.4000","2.4020","0.0019"
"","2.5000","2.5020","0.0020"
"","2.6000","2.6023","0.0021"
"","2.7000","2.7023","0.0021"
"","2.8000","2.8021","0.0022"
"","2.9000","2.9021","0.0022"
"","3.0000","3.0021","0.0023"
"","3.1000","3.1021","0.0024"
"","3.2000","3.2019","0.0024"
"","3.3000","3.3019","0.0025"
"","3.4000","3.4021","0.0025"
"","3.4980","3.5001","0.0026"
"","3.5000","3.5021","0.0026"
"","3.5380","3.5205","0.0026"
"","3.6380","3.5211","0.0026"
"","3.7380","3.5167","0.0025"
"","3.8380","3.5108","0.0025"
"","3.9380","3.5064","0.0025"
"","4.0380","3.5035","0.0025"
"","4.1380","3.5020","0.0025"
"","4.2380","3.5009","0.0025"
"","4.3380","3.5005","0.0025"
"","4.4380","3.5003","0.0025"
"","4.5380","3.5001","0.0025"
"","4.6380","3.5000","0.0025"
"","4.7380","3.5000","0.0025"
"","4.8380","3.5000","0.0025"
"","4.9380","3.5000","0.0025"
"","5.0380","3.5000","0.0025"
"","5.1380","3.4999","0.0025"
"","5.2380","3.4999","0.0025"
"","5.3380","3.4999","0.0025"
"","5.4380","3.4999","0.0025"
"","5.5000","3.4999","0.0025"
"","5.5020","3.4999","0.0025"
"","5.5480","3.4999","0.0025"
"","5.6480","3.5724","0.0025"
"","5.7480","3.6848","0.0026"
"","5.8480","3.7928","0.0027"
"","5.9480","3.8969","0.0027"
"","6.0480","3.9992","0.0028"
"","6.1480","4.1003","0.0029"
"","6.2480","4.2013","0.0029"
"","6.3480","4.3016","0.0030"
"","6.4480","4.4015","0.0031"
"","6.5480","4.5017","0.0031"
"","6.6480","4.6019","0.0032"
"","6.7480","4.7020","0.0032"
"","6.8480","4.8019","0.0033"
"","6.9480","4.9016","0.0034"
"","7.0480","5.0020","0.0034"
"","7.1480","5.1021","0.0035"
"","7.2480","5.2019","0.0035"
"","7.3480","5.3019","0.0036"
"","7.4480","5.4020","0.0036"
"","7.5480","5.5021","0.0037"
"","7.6480","5.6021","0.0038"
"","7.7480","5.7020","0.0038"
"","7.8480","5.8023","0.0039"
"","7.9480","5.9021","0.0039"
"","8.0480","6.0019","0.0040"
"","8.1480","6.1020","0.0040"
"","8.2480","6.2020","0.0041"
"","8.3480","6.3021","0.0042"
"","8.4480","6.4020","0.0042"
"","8.5480","6.5019","0.0043"
"","8.6480","6.6021","0.0043"
"","8.7480","6.7021","0.0044"
"","8.8480","6.8021","0.0044"
"","8.9480","6.9020","0.0045"
"","9.0460","7.0001","0.0045"
"","9.0480","7.0021","0.0045"
"","9.0980","7.0216","0.0045"
"","9.1980","7.0207","0.0046"
"","9.2980","7.0161","0.0045"
"","9.3980","7.0099","0.0045"
"","9.4980","7.0055","0.0045"
"","9.5980","7.0031","0.0045"
"","9.6980","7.0016","0.0045"
"","9.7980","7.0008","0.0045"
"","9.8980","7.0005","0.0045"
"","9.9980","7.0003","0.0044"
"","10.0980","7.0001","0.0045"
"","10.1980","7.0001","0.0044"
"","10.2980","7.0000","0.0044"
"","10.3980","7.0000","0.0044"
"","10.4980","7.0000","0.0044"
"","10.5980","7.0000","0.0044"
"","10.6980","7.0000","0.0044"
"","10.7980","7.0000","0.0044"
"","10.8980","7.0000","0.0044"
"","10.9980","6.9999","0.0044"
"","11.0480","6.9999","0.0044"
