#Digilent WaveForms Logger
#Device Name: Discovery2NI
#Serial Number: SN:210321ACBB39
#Date Time: 2020-05-18 10:54:38.941

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,-0.007837902349889713,0.9000312196860424,0.8999970909376885,-0.03265902154892501,0.8338193923315347,0.8331795528813647
0.1,-0.007142509267411275,0.9005773923183094,0.9005490681335532,-0.03259833302438343,0.833846172728391,0.8332087304258231
0.2,-0.007650998280290753,0.899393340456395,0.8993607969456026,-0.03226292469027679,0.8337882196232647,0.8331637887431983
0.3,-0.007754986573915685,0.901185107518753,0.9011517398289967,-0.03243479829794763,0.8338688966539177,0.833237853596549
0.4,-0.007657411655227942,0.9006700705179417,0.9006375186352924,-0.03314175011817764,0.8339080815057048,0.8332492501044712
0.5,-0.007563043424008918,0.9000791735831565,0.9000473982476181,-0.0327706699032337,0.8338542459071632,0.8332100495142228
0.6,-0.00680718137783673,0.9001817160727097,0.9001559777245812,-0.03254737319461583,0.8338826243097071,0.8332472019897633
0.7,-0.00712006245513103,0.9004654481541579,0.9004372982224234,-0.03199283759250883,0.8338413069817237,0.8332273300676936
0.8,-0.00774261792225103,0.9006091047014066,0.900575822093164,-0.03257655927893731,0.833800731646989,0.8331641062123225
0.9,-0.007108609999885976,0.9012674741211368,0.9012394396455139,-0.03267755239611304,0.8338355852356676,0.8331950316550643
1,-0.007635422941157534,0.9007963971508358,0.9007640364914922,-0.0326423437864554,0.8338394434135693,0.8332002729142611
1.1,-0.007511278326301368,0.9005996942026605,0.9005683704726881,-0.03247463961940213,0.8338341326105376,0.833201511333227
1.2,-0.007949678313081222,0.9005609467030483,0.9005258582302961,-0.03304585298397875,0.8338438054582179,0.8331887322219308
1.3,-0.007535099433211088,0.9006239195527189,0.9005923976733561,-0.0333933063687574,0.8339178780720254,0.8332490110752586
1.4,-0.007661992637325973,0.9004349559107278,0.9004023565577701,-0.0335693494170455,0.8339213968764992,0.8332454590024071
1.5,-0.007318418979975001,0.9007014254076063,0.9006716929463942,-0.03346140723217433,0.83385812883983,0.833186481682397
1.6,-0.007585032138079345,0.9002226739652678,0.9001907186861239,-0.033507271078965,0.8339086770669493,0.8332352275752459
