#Digilent WaveForms Logger
#Device Name: Discovery2NI
#Serial Number: SN:210321ACBB39
#Date Time: 2020-05-18 10:47:56.095

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.00139048608655812,1.0285057922566,1.028504852323906,-0.03173711190131162,0.8338259827093791,0.8332217743010707
0.1,0.001407893818530573,1.029261362217337,1.029260399310343,-0.03171626469822479,0.8338888011522738,0.8332854320344292
0.2,0.00258108333383178,1.028113465360254,1.028110225444668,-0.03172553012181897,0.8337965480265983,0.8331927593537751
0.3,0.003124387810656172,1.027926244143634,1.027921495835178,-0.03121824818004175,0.8338468914923699,0.8332622992984011
0.4,0.001873321599688725,1.027848047548765,1.02784634042059,-0.03198866815189141,0.8339231616190778,0.833309405079912
0.5,0.003380006611725319,1.02770403082354,1.027698472571715,-0.03146795134590299,0.8338588582653409,0.8332648819827034
0.6,0.002597574869384646,1.028104596908641,1.028101315430279,-0.03214525381063177,0.83381168432841,0.8331918191989195
0.7,0.002483966513353906,1.028740209364974,1.028737210503556,-0.03160322653037674,0.8338641644683213,0.8332650723853267
0.8,0.0024477767547796,1.028054716570325,1.028051802513591,-0.03179455752759505,0.8338353276938621,0.8332289360205664
0.9,0.001453703639510713,1.028498205297148,1.02849717794711,-0.03174498751136667,0.8337563853809032,0.8331518264586233
1,0.00270751843973695,1.028301209791523,1.028297645335529,-0.03231990704538051,0.8338953700614582,0.833268811259905
1.1,0.002700646966589946,1.028632760527392,1.028629215284194,-0.03205954864238632,0.833884448816527,0.8332679396922114
1.2,0.002988790740554994,1.02832652566851,1.02832218225777,-0.03202434003272883,0.8338970502496431,0.8332819043160228
1.3,0.002097789722491379,1.028704931609997,1.028702792645672,-0.031920104017295,0.8339212739614444,0.833310145219051
1.4,0.002514659093410592,1.028881549983586,1.028878476976884,-0.03172228722356105,0.8338066164414781,0.8332029585370573
1.5,0.00296267914259629,1.027217135189913,1.027212862731026,-0.03186590128926961,0.8338314784235168,0.8332223585243865
1.6,0.001816059323463564,1.028500850132495,1.028499246792038,-0.03203314218514311,0.8338995324380717,0.8332840500106651
1.7,0.001945701116837338,1.027834343711022,1.027832502093128,-0.03213274548877967,0.8338732393878507,0.8332539025018355
1.8,0.001278710123366601,1.028528701703533,1.028527906830134,-0.0322064056063527,0.8339516537466982,0.8333295315928542
1.9,0.001875153992527938,1.028629335206921,1.028627626036624,-0.03251957692383349,0.833912424187547,0.8332781098354967
2,0.002243464953208207,1.028400874441399,1.028398427369881,-0.0323231499436386,0.8338487758970732,0.8332220562627862
2.1,0.002646133279623576,1.027923074261418,1.027919668348505,-0.0323574320109366,0.8338604424945115,0.8332324010447372
2.2,0.002176124516367408,1.028731019860605,1.028728718227267,-0.03214618035299121,0.8338292635404568,0.8332093757424445
2.3,0.003199515917063582,1.02773177333936,1.027726792989831,-0.03218370531854733,0.8338549563877097,0.8332336391459021
2.4,0.00218528648056343,1.028226251778722,1.028223929584362,-0.03244221063682266,0.8338983095075121,0.8332670001677195
2.5,0.001581971138255079,1.028625917579181,1.028624701085351,-0.03221196486050928,0.8338532653086086,0.8332308547969349
2.6,0.002358905702078147,1.028293763106428,1.028291057438243,-0.03202711965980689,0.8338377460479646,0.8332224494939121
2.7,0.001929209581284492,1.027761028574232,1.027759217913591,-0.03219899326747749,0.8338632226984268,0.833241320987821
2.8,0.003045594918570341,1.027983845402663,1.02797933381972,-0.03230739872352851,0.8338860500682213,0.8332599693289572
2.9,0.001928751483074696,1.028215455972814,1.028213646971823,-0.03224485711426848,0.8338420188234337,0.8332183276580257
3,0.00233462649695867,1.028799735972342,1.028797087017586,-0.03197152711824241,0.8338718003714972,0.8332586638664635
3.1,0.003285638380506233,1.027336762386482,1.027331508292802,-0.03209753687912216,0.8338898300819131,0.8332718625036694
3.2,0.002415709880093505,1.028077526091293,1.028074687948189,-0.03249178065305116,0.8338696872057128,0.8332364246902078
3.3,0.003291135559023853,1.02788918773808,1.027883918881684,-0.03248066214473827,0.8338478299757504,0.8332149843479066
3.4,0.001272296748429377,1.028055899014408,1.028055111732493,-0.03288509788462084,0.8339207067021043,0.8332720536557392
3.5,0.002683697332827279,1.028077850406055,1.028074347634525,-0.03282487263125925,0.8339730902724256,0.8333268524626219
3.6,0.003302129916059084,1.027465715399846,1.027460409096201,-0.03286332413917485,0.8339257608620281,0.8332779707611576
3.7,0.003263649666435778,1.027783288987238,1.027778107235345,-0.03331779316646554,0.8339433787436269,0.8332775549652474
3.8,0.001523334567400501,1.028626107130064,1.028624979145142,-0.03310005571200413,0.8339173109103417,0.8332601441013262
3.9,0.002242090658578803,1.027887831352957,1.027885386058665,-0.03286517722389363,0.8339319931171251,0.8332841347765662
