#Digilent WaveForms Logger
#Device Name: Discovery2NI
#Serial Number: SN:210321ACBB39
#Date Time: 2020-05-18 11:44:55.959

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,-0.01140969409171068,1.107208200490553,1.107149410926215,-0.02853220188011269,0.8336587017812855,0.8331702974251787
0.1,-0.01167218436592684,1.108030305560858,1.107968825442941,-0.02877680906299691,0.8337341098656565,0.8332373378657951
0.2,-0.01160942491118408,1.109721892023561,1.10966116399989,-0.02879024392720845,0.8336539856879309,0.8331567017722461
0.3,-0.0116227097592684,1.109562054828661,1.109501178968933,-0.02883008524866292,0.8336927635587396,0.8331941251561668
0.4,-0.01205927735320902,1.11100937012113,1.110943920423836,-0.02852571608359685,0.833641867275258,0.8331536751380678
0.5,-0.01225442719058445,1.111681989262635,1.111614444969638,-0.02867952211525887,0.833681231759093,0.8331877826748481
0.6,-0.0126515983384822,1.113025913076151,1.112954006344593,-0.02865265238683594,0.8337166146735031,0.8332241109652464
0.7,-0.01262228005305483,1.114017231993796,1.113945721848858,-0.02858501479459919,0.8336783399452106,0.8331881368712657
0.8,-0.01325674607362971,1.115370944470592,1.115292160132386,-0.02902743877121736,0.8337383749961789,0.8332329120597927
0.9,-0.01289164180041804,1.115949397077381,1.11587493134718,-0.02894914594184725,0.8336885522251687,0.8331857830403409
1,-0.01375332453305432,1.116660186378514,1.116575486882633,-0.02899130361920034,0.8336740943846669,0.833169850608246
1.1,-0.01287789885412404,1.117517841384781,1.117443638638837,-0.02867025669166483,0.8337405360829209,0.8332474409736061
1.2,-0.01192642887236668,1.118773292326783,1.118709721025997,-0.02803742826018788,0.8336239685170789,0.8331523411133837
1.3,-0.01236620315377592,1.119017076802114,1.118948745561791,-0.02857157993038782,0.833629979829667,0.8331402091431541
1.4,-0.01202446188926406,1.119682771302352,1.119618203079784,-0.02849282382983774,0.8336533315778507,0.8331662716655274
1.5,-0.01243354359061667,1.120941430064379,1.120872471170806,-0.02872909213148734,0.833668261139639,0.8331730965993107
1.6,-0.01237170033229349,1.122672457762481,1.122604288451345,-0.02850069943989282,0.8336582608455808,0.8331709344471416
1.7,-0.01190810494397459,1.126396731454528,1.12633378430556,-0.02773305909512163,0.8335725681536276,0.8331110993207687
1.8,-0.01189940107798832,1.123783756378667,1.123720755060853,-0.02797627646446685,0.8336773091412355,0.8332077674458953
1.9,-0.01210462907597943,1.119335521487847,1.119270069116211,-0.02835986500126254,0.8336207226718397,0.8331381802108504
2,-0.01200109888056424,1.116335490731375,1.116270980314424,-0.02786184848307961,0.8336129485838422,0.8331472051478996
2.1,-0.01179724517720269,1.112240763668915,1.112178196771109,-0.02789983671981552,0.8336545121008182,0.8331875207041023
2.2,-0.01257967691954325,1.108015963377048,1.107944550429745,-0.02798554188806094,0.8336125462159757,0.8331426568444998
2.3,-0.01280780982802436,1.103655718186238,1.103581399033435,-0.02802955265013286,0.8336288272256033,0.8331574675652683
2.4,-0.01299104911194505,1.102652639322098,1.102576108777513,-0.02874854952103486,0.8337335152616566,0.8332377184039426
2.5,-0.01197819397007416,1.095782333182852,1.095716863329604,-0.02865728509863311,0.8336462592825951,0.8331535546504257
2.6,-0.0115457492600217,1.093104874510203,1.093043897724144,-0.0275593324027321,0.8336235755541637,0.8331678995960058
2.7,-0.01140877789529108,1.089165472500887,1.089105718594402,-0.02821393457965548,0.8337149867029588,0.8332374529200127
2.8,-0.01148802888558675,1.084750313097903,1.084689479509381,-0.02829315395138489,0.8336532940038046,0.8331730384757314
2.9,-0.01150726901039843,1.079924334717904,1.079863024404405,-0.02785350960184494,0.8336774099673981,0.8332119813665684
3,-0.01178166983806936,1.078641764418689,1.078577418734554,-0.02792855953295717,0.8336655926165943,0.8331976451450241
3.1,-0.0123061922882919,1.073844355211832,1.073773838781565,-0.0285386876766286,0.8336846359576464,0.8331960246769853
3.2,-0.0125022583220869,1.071148374858523,1.071075410276469,-0.02830288264615882,0.8336740891111214,0.8331935151506822
3.3,-0.01213348926319684,1.066089170506338,1.066020120780654,-0.02834504032351182,0.833689506245458,0.8332075080751674
3.4,-0.01238819186784635,1.062920443471538,1.06284824968195,-0.02820791205431921,0.8336376347772876,0.8331602605829393
