#Digilent WaveForms Logger,,,,,,,,,,,,
#Device Name: Discovery2NI,,,,,,,,,,,,
#Serial Number: SN:210321ACBB39,,,,,,,,,,,,
#Date Time: 2020-06-04 11:03:16.882,,,,,,,,,,,,
,,,,,,,,,,,,
Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V),,,Thermistice,,Temperature (C),Resistance (kOhm)
0,0.001544865,0.837731699,0.837730274,-0.029532404,0.61021975,0.609504701,1200,,9.682102663,,25.72881283,8696.707039
0.1,0.002336459,0.837858029,0.837854772,-0.030227774,0.610242101,0.609492989,1199,,9.681678541,,25.72980349,8470.554622
0.2,0.002962679,0.837789371,0.837784132,-0.029989653,0.610318085,0.609580828,1198,,9.680236984,,25.73317105,8591.984208
0.3,0.002724468,0.837764485,0.837760055,-0.030293096,0.610419016,0.609666879,1197,,9.6783228,,25.73764357,8636.862116
0.4,0.00302269,0.83773037,0.837724917,-0.030550674,0.610537613,0.609772772,1196,,9.676074542,,25.74289797,8699.150384
0.5,0.002891216,0.837806315,0.837801326,-0.030617385,0.610621508,0.609853427,1195,,9.674484765,,25.74661428,8561.694354
0.6,0.002418,0.837823627,0.837820138,-0.030358417,0.610640601,0.60988549,1194,,9.674123034,,25.74745998,8530.966428
0.7,0.003056589,0.8377411,0.837735523,-0.029925258,0.610585612,0.609851841,1193,,9.675164916,,25.74502425,8679.462572
0.8,0.003352063,0.837748485,0.837741779,-0.030426981,0.610729377,0.609970958,1192,,9.672441458,,25.75139181,8665.963986
0.9,0.003744653,0.837698735,0.837690365,-0.030271785,0.610782876,0.610032245,1191,,9.671428374,,25.75376097,8757.718833
1,0.002702479,0.837791744,0.837787386,-0.029817779,0.610792584,0.610064325,1190,,9.671244561,,25.75419086,8587.729228
1.1,0.002743708,0.837780923,0.83777643,-0.029695013,0.611110284,0.610388389,1189,,9.665233032,,25.76825538,8607.16644
1.2,0.003459258,0.837693915,0.837686773,-0.030044319,0.611461751,0.610723187,1188,,9.658591264,,25.78380612,8766.711796
1.3,0.003537592,0.837646081,0.837638611,-0.030569205,0.611918628,0.611154589,1187,,9.649971167,,25.8040072,8856.969993
1.4,0.003239829,0.837719959,0.837713694,-0.03008833,0.612188936,0.611449087,1186,,9.644878389,,25.81595182,8718.338443
1.5,0.002707977,0.837722213,0.837717837,-0.029617183,0.612698573,0.611982323,1185,,9.635291105,,25.83845759,8714.177018
1.6,0.002827082,0.837822371,0.837817601,-0.030345909,0.613202402,0.612451069,1184,,9.625831798,,25.86068822,8533.188342
1.7,0.002618189,0.837771213,0.837767122,-0.030867552,0.613663949,0.612887132,1183,,9.617182614,,25.88103698,8624.683073
1.8,0.002481676,0.837816689,0.837813014,-0.03040706,0.614257398,0.613504329,1182,,9.606084461,,25.90717826,8543.254505
1.9,0.002484883,0.837746417,0.837742732,-0.030402891,0.614705734,0.613953422,1181,,9.597717052,,25.92691039,8669.739722
2,0.003033226,0.837822156,0.837816665,-0.030181911,0.615394484,0.614653905,1180,,9.584891095,,25.9571952,8533.568802
2.1,0.003086366,0.837678868,0.837673182,-0.029874298,0.616041973,0.615317186,1179,,9.572864725,,25.98563443,8794.905092
2.2,0.003717167,0.837686836,0.837678588,-0.029998918,0.616460989,0.615730636,1178,,9.565098052,,26.00402246,8779.953043
2.3,0.003398789,0.837725524,0.837718629,-0.030063313,0.617103783,0.616371054,1177,,9.553208007,,26.03220614,8708.071317
2.4,0.003478956,0.837656518,0.837649294,-0.03048628,0.617768645,0.617015953,1176,,9.540940819,,26.06132614,8837.118207
2.5,0.003801915,0.837619868,0.83761124,-0.030582177,0.618327564,0.617570811,1175,,9.530652705,,26.08578146,8907.224189
2.6,0.003941177,0.837621748,0.837612476,-0.030150408,0.61890969,0.618174859,1174,,9.519960978,,26.11122842,8903.600975
2.7,0.003324119,0.837670558,0.837663962,-0.030496935,0.619786017,0.619035253,1173,,9.503910914,,26.14949038,8810.553257
2.8,0.003274186,0.837692086,0.837685687,-0.030397795,0.620398814,0.619653663,1172,,9.492719559,,26.17621366,8770.129107
2.9,0.002992456,0.837633526,0.837628181,-0.03016477,0.620887687,0.620154502,1171,,9.483810279,,26.19751364,8880.968835
3,0.002848155,0.837625152,0.837620309,-0.029682504,0.621670984,0.620961965,1170,,9.469570192,,26.23160621,8897.04814
3.1,0.002864646,0.837732721,0.837727823,-0.030206927,0.622517007,0.621783697,1169,,9.454237726,,26.26838014,8694.829042
3.2,0.002665373,0.837721689,0.837717449,-0.029937767,0.623113101,0.622393498,1168,,9.443464502,,26.29426013,8715.144094
3.3,0.003481246,0.837592848,0.837585613,-0.030675758,0.624008809,0.623254355,1167,,9.427322433,,26.33310114,8959.625923
3.4,0.003250823,0.837666946,0.837660638,-0.030786943,0.624659472,0.623900329,1166,,9.415631021,,26.36128084,8817.372217
3.5,0.002860065,0.837738895,0.837734013,-0.030898128,0.625251052,0.624487137,1165,,9.40502638,,26.38687599,8683.501112
3.6,0.00299383,0.8376416,0.83763625,-0.031172384,0.626073171,0.625296648,1164,,9.390328708,,26.422405,8865.52051
3.7,0.003462464,0.83767609,0.837668934,-0.031566628,0.626928194,0.62613298,1163,,9.375091438,,26.45930607,8800.130023
3.8,0.00290221,0.837714641,0.837709614,-0.031145051,0.627490882,0.626717475,1162,,9.365090788,,26.48356285,8728.172516
3.9,0.002822501,0.837652489,0.837647734,-0.03159952,0.628398881,0.627603875,1161,,9.348997845,,26.5226593,8844.771046
4,0.002498626,0.837687966,0.837684239,-0.031462392,0.629118369,0.628331155,1160,,9.336285205,,26.55359844,8777.836699
4.1,0.002527944,0.837741524,0.83773771,-0.031719971,0.629782101,0.628982781,1159,,9.324588337,,26.58210834,8678.686431
4.2,0.002445486,0.837788892,0.837785323,-0.031616661,0.630586149,0.629793044,1158,,9.310457895,,26.61660482,8592.843606
4.3,0.002346995,0.837701638,0.83769835,-0.031415138,0.631370459,0.630588412,1157,,9.296715533,,26.65021177,8752.311428
4.4,0.002517408,0.837693153,0.83768937,-0.031614345,0.632283198,0.63149234,1156,,9.280773879,,26.68926886,8768.135196
4.5,0.003042846,0.837718454,0.837712928,-0.032427849,0.633051968,0.63222087,1155,,9.267389104,,26.72212131,8721.119248
4.6,0.003136298,0.837669231,0.837663359,-0.03222401,0.633901606,0.633082032,1154,,9.252641207,,26.75838283,8813.057225
4.7,0.003394208,0.837627977,0.8376211,-0.032138768,0.634702933,0.633888723,1153,,9.238774832,,26.79253769,8891.617223
4.8,0.003432688,0.83759427,0.837587236,-0.032010442,0.635441425,0.634634648,1152,,9.226032521,,26.82397591,8956.852775
4.9,0.003726329,0.837550154,0.837541864,-0.032181852,0.636368105,0.635553848,1151,,9.210092759,,26.86337348,9043.693906
5,0.003995233,0.837541001,0.837531472,-0.032269874,0.637141522,0.636323797,1150,,9.196831371,,26.89621093,9061.922691
5.1,0.003485827,0.83757155,0.837564296,-0.031888602,0.638021996,0.637224595,1149,,9.181780739,,26.933545,9001.367151
5.2,0.002910914,0.837646242,0.837641184,-0.031421624,0.638736135,0.637962798,1148,,9.169609534,,26.96378806,8856.663084
5.3,0.003214633,0.837612081,0.837605913,-0.032109119,0.639612393,0.638805931,1147,,9.154719321,,27.00085028,8922.263074
