#Digilent WaveForms Logger
#Device Name: Discovery2NI
#Serial Number: SN:210321ACBB39
#Date Time: 2020-06-11 11:59:37.578

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,-0.001616012464368023,0.8374686249028268,0.8374670657407064,-0.03081288589780024,0.8330380151673655,0.8324679578077582
0.1,-0.001919273479256491,0.8373991879563453,0.83739698851814,-0.03096715520064206,0.8329343284971293,0.8323584749900367
0.2,-0.002059909629665512,0.8374079888440593,0.8374054552916259,-0.03100004745440106,0.8329329883891202,0.8323559095751452
0.3,-0.001390170046935975,0.8374386184330717,0.8374374645729217,-0.03058727283328388,0.8329421385359311,0.8323803366787556
0.4,-0.001356270779410637,0.8373617868213662,0.8373606884480722,-0.03073598288196921,0.832911708947474,0.8323444084380375
0.5,-0.001216550825421247,0.8373380472092112,0.8373371634582012,-0.03049137569908485,0.8329160966961192,0.8323577957486018
0.6,-0.001285265556891451,0.8373779450930602,0.8373769587352605,-0.03037092519236166,0.8329415467000557,0.8323876663682803
0.7,-0.001738324686384977,0.8373473993848686,0.8373455950107369,-0.0303366431250635,0.8329854898153605,0.8324328887825495
0.8,-0.00138329857378895,0.8373564425518202,0.8373552999582062,-0.03002393507876255,0.832968338912501,0.8324270640440893
0.9,-0.001187690638203772,0.8375706583654565,0.8375698162814186,-0.03034729836219664,0.832921927041023,0.8323688953990634
1,-0.001559666384562455,0.8374050923938979,0.8374036399538765,-0.03015457755143948,0.8329811561171436,0.8324351673847898
1.1,-0.001135925540496226,0.8373829844841797,0.8373822140318,-0.0301893228899172,0.8329074858003416,0.8323601892724712
1.2,-0.001545007241848817,0.8374287317068181,0.8374273064814138,-0.03036258631112721,0.8329945126961839,0.8324409718018771
1.3,-0.0009439823905894683,0.8374738769421947,0.8374733449237882,-0.0307480279326415,0.832997913296245,0.8324302267062167
1.4,-0.0004840517879489238,0.8374538828289478,0.8374537429369665,-0.03053399664761782,0.8329267067669579,0.8323668505499092
1.5,-0.0007616593030885361,0.8373171271874313,0.8373167807684938,-0.03077721401696298,0.8329842382630825,0.8324154637511636
1.6,-0.001032853443290924,0.8373402878563948,0.8373396508473672,-0.03049091242790527,0.8329308809890086,0.8323726069282006
1.7,-0.0013681813328655,0.8375019269623553,0.8375008093999067,-0.0308286371179102,0.8329934698383382,0.8324227987788121
1.8,-0.001595398044926956,0.837559683779911,0.8375581643077589,-0.03086291918520838,0.8329672891214723,0.8323953297356671
1.9,-0.001323287708304971,0.8373953665932904,0.8373943210349337,-0.03024074599086456,0.8329187319819722,0.8323695761909843
2,-0.001067210809026024,0.8374009362401645,0.8374002561959158,-0.03018885961873752,0.8329830645420038,0.8324358345054024
2.1,-0.001010406631010655,0.8374814942646783,0.8374808847455799,-0.03045060783527098,0.8329097273829108,0.8323529146050509
2.2,-0.00153218049197437,0.837490101758041,0.8374887002017629,-0.03043485661516088,0.8330145773785158,0.8324584107496996
2.3,-0.001177612477588146,0.8372391075354847,0.8372382793540104,-0.03062201817176167,0.8329324841049131,0.8323693982122733
2.4,-0.001165243825923516,0.8372778014767963,0.8372769906384911,-0.03036304958230658,0.8329142488887975,0.8323606377178324
2.5,-0.001040183014647742,0.8374530217376552,0.8374523757425395,-0.03108297299556831,0.8329595522320861,0.8323793993393038
2.6,-0.0007928099813550321,0.8373814074322391,0.8373810321266721,-0.03027966076995982,0.8329556211161281,0.8324050750041254
2.7,-0.001016361907738069,0.8374767432774884,0.8374761265487752,-0.03055206422362631,0.832994279401038,0.8324338057086278
2.8,-0.0009462728816384782,0.8374096107464882,0.8374090761021222,-0.03094352837047706,0.8330564684738004,0.8324815780051873
2.9,-0.0007419610800670702,0.8374211931052744,0.837420864413838,-0.03077953037286154,0.8329609804510519,0.8323921043979295
3,-0.0009164964980013911,0.8374335438621497,0.8374330423500608,-0.03099587801378366,0.8330271167356085,0.8324502584316988
3.1,-0.001012697122059653,0.8373264655595228,0.8373258531604942,-0.03064564500192679,0.8329289459587244,0.8323649881261925
3.2,-0.001017736202367473,0.8374778227985877,0.8374772044017007,-0.03088515620183422,0.8330294852655222,0.8324567438901239
3.3,-0.0003434156375399205,0.8373176028846435,0.8373175324607617,-0.03052102505458609,0.8329980995629852,0.8324387670604818
3.4,-0.0006805759199537125,0.8373548841527563,0.8373546075772761,-0.03060117096867504,0.832979565169934,0.8324172777676001
3.5,-0.001162037138454908,0.8374475170843007,0.8374467108660402,-0.03060950984990971,0.8329721149724074,0.8324095159405431
3.6,-0.0007401286872278635,0.837398410247016,0.8373980831681902,-0.03019905158469098,0.8329259755025907,0.8323783382274729
3.7,-0.0004593144846196537,0.8373656097759695,0.8373654838036283,-0.03010408099285151,0.8329912098763167,0.8324470553967903
3.8,-0.000923367971148403,0.8373429497855855,0.8373424406700122,-0.02957224567855025,0.8329424622262226,0.8324173398392309
3.9,-0.001334740163550004,0.8373726630203056,0.8373715992571116,-0.03021202317772276,0.8329782770428846,0.8324302034890677
4,-0.0004845098861587348,0.8370868318161607,0.8370866915978216,-0.02984650221693555,0.832915083453579,0.8323801550673181
4.1,-7.629649755540466e-06,0.8373725885741733,0.8373725885394154,-0.02937025944419883,0.8329072389110395,0.832389245780255
4.2,-0.0003786891996946224,0.8372606147067124,0.8372605290670024,-0.02926694997112465,0.8329322344841285,0.8324178955801707
4.3,-0.0001752935945428326,0.8372644294700305,0.8372644111198876,-0.02951480005226685,0.8328807488976629,0.8323576265417354
4.4,-0.0001152827290588593,0.8374885001430892,0.8374884922085878,-0.02941056403683328,0.8329402490167547,0.8324208533879791
4.5,-0.0002211034155229563,0.8374082059109131,0.8374081767216087,-0.03001930236696548,0.8329271868332422,0.8323860522926487
4.6,-4.381940832983665e-05,0.8371789914771606,0.8371789903303646,-0.02956483333967499,0.8329204606130501,0.8323955876489495
4.7,0.0001934754643472417,0.8373250248585092,0.8373250025059222,-0.02895192556892525,0.8328936019119098,0.8323902558966423
4.8,0.0001705705538571705,0.8373551911491877,0.8373551737764464,-0.02869064062357168,0.8328463542163264,0.8323520270126341
4.9,-0.0003672367444495868,0.8373074421550279,0.8373073616213811,-0.02915576488799549,0.8329141555612268,0.8324037072887536
5,-6.901480986892687e-05,0.837361792205365,0.837361789361282,-0.02937211252891769,0.8328972882892794,0.8323792235785578
5.1,-0.0001656735321369902,0.8372598132137878,0.8372597968223814,-0.03003968629887264,0.8329221518439621,0.8323802786463886
5.2,3.176679628736731e-05,0.8375079544956356,0.8375079538931778,-0.0301717185850884,0.832924937112848,0.8323782903596496
5.3,2.123053746193974e-05,0.837373313807394,0.8373733135382556,-0.03020924355064461,0.8329739794431078,0.8324260039387116
5.4,-1.862400679077928e-05,0.8374152408498691,0.8374152406427684,-0.02990441111439868,0.8329226318119707,0.8323856298498197
5.5,0.0003831281232050052,0.837293962361128,0.8372938747054378,-0.0297746951840813,0.8329167543018153,0.8323843986544753
5.6,0.0007839640567811608,0.837321594421223,0.8373212274178047,-0.02972002918487605,0.8329760148000857,0.8324456505367178
5.7,0.0003405249896934641,0.8372940499703153,0.8372939807250638,-0.02967231225336663,0.8329103805537328,0.8323816768284182
5.8,-5.252327431607082e-05,0.8374982933872491,0.8374982917402642,-0.02977840135351883,0.8329016470248614,0.8323691491337137
5.9,-0.0003654043516103781,0.8373518798022107,0.8373518000744751,-0.03016893895801024,0.8330016200816133,0.832455124424575
6,-0.0006737044468066761,0.8374566524086134,0.8374563814227957,-0.03023796636378635,0.8329017730202765,0.8323527070242039
6.1,-0.0005972020457698482,0.8373230296279864,0.8373228166574133,-0.0299748283337139,0.8329150737027866,0.832375534039595
6.2,-0.0003113487628538212,0.8373643134322585,0.8373642555494205,-0.02968018786342148,0.8329238884920982,0.8323949125680862
6.3,-0.0007607431066689303,0.8373772552920656,0.8373769097308499,-0.03034127583686053,0.8329406749157844,0.8323878752779627
6.4,-0.0005239063322016429,0.8374817160187525,0.8374815521477893,-0.02987476175889761,0.8329846059299474,0.8324487085257086
6.5,-0.0008459493736919776,0.8375019881772388,0.8375015609361467,-0.02957548857680817,0.832912750417087,0.8323874940691967
6.6,-0.0006714139557576893,0.8374102091382208,0.8374099399769577,-0.0294684729342964,0.8328848724538365,0.8323633941166386
6.7,3.909636764420091e-05,0.8374471760922455,0.8374471751796295,-0.030613679290527,0.8329625431153724,0.8323997842824897
6.8,-0.0001665897285566041,0.8374600038715725,0.8374599873023404,-0.03067807398450612,0.833013123806097,0.8324480285338011
